"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"PLATFORM1";"OLIMEX_CASES-ARDUINO-MEGA-PLATFORM";1;"ARDUINO_MEGA";;;
2;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"via_0.5_0.6";36;"via_0.5_0.6";;;
3;"U5";"SOT363";1;"BAT54TW";;;
4;"J1";"HN1x3";1;"3.3/5V";;;
5;"PWR1";"IDJ-1174.1";1;"PWR-JACK";;;
6;"L1";"CD43";1;"4.7uH CD43";;;
7;"U4";"TQFP100";1;"ATMEGA1280-16AU";;;
8;"R3,R6,R1,R17,R18";"R_0402_5MIL_DWS";5;"2K";;;
9;"C6";"C_0402_5MIL_DWS";1;"(na)100nF";;;
10;"C16,C2,C4,C5,C7,C8";"C_0603_5MIL_DWS";6;"22uF";;;
11;"R7";"R_0402_5MIL_DWS";1;"6.8K/1%";;;
12;"LED1";"LED_0603_KA_NOSILK";1;"YELLOW";;;
13;"LED3,LED5";"LED_0603_KA_NOSILK";2;"RED";;;
14;"LED2,LED4";"LED_0603_KA_NOSILK";2;"GREEN";;;
15;"USB1";"USB-MICRO-5P-F";1;"USB-MINI";;;
16;"Ref**,Ref**,Ref**,Ref**";"Fiducial1x3_transp";4;"Val**";;;
17;",";"OLIMEX_LOGO_TB";2;"";;;
18;"BUTTON1";"TSW34-W16PR-220";1;"SW_PUSH";;;
19;"UEXT1";"UEXT_BH10R";1;"UEXT_MALE";;;
20;"";"LOGO_ROHS_1";1;"";;;
21;"";"LOGO_RECYCLEBIN_1";1;"";;;
22;"";"LOGO_PBFREE";1;"";;;
23;"";"LOGO_OPENHARDWARE_8x8";1;"";;;
24;"C1,C15,C17,C18,C19,C20,C21";"C_0402_5MIL_DWS";7;"100nF";;;
25;"C3";"C_1206_5MIL_DWS";1;"22uF/25V";;;
26;"C10";"C_0603_5MIL_DWS";1;"10nF";;;
27;"C11,C14";"C_0402_SMALL";2;"22pF";;;
28;"C12,C13";"0402";2;"33pF";;;
29;"D2";"SMB-KA";1;"SMBJ16A";;;
30;"FB1,FB2,FB3";"L_0805_5MIL_DWS";3;"FB0805";;;
31;"FET1,FET2";"SOT23";2;"IRML6402";;;
32;"J2";"HN1x3";1;"ARES/MRES";;;
33;"MICRO_SD1";"TFC-WXCP11-08-LF";1;"MICRO_SD(TFC-WXCP11-08-LF)";;;
34;"Q1";"HCX-4S_2Pins_5.0x3.2mm";1;"16M/12pF";;;
35;"R4";"R_0603_5MIL_DWS";1;"49.9K/1%";;;
36;"R5,R8,R11,R12,R13,R14,R2";"R_0402_5MIL_DWS";7;"10K";;;
37;"U1";"SOT23-6";1;"SY8120B1";;;
38;"U2";"SSOP-20W";1;"CH340H/T";;;
39;"U3";"SOT89";1;"MCP1700-33-SOT89";;;
40;"X1";"Q_49U3HMS";1;"12MHz/20pF";;;
41;"R15";"R_0402_5MIL_DWS";1;"330R";;;
42;"R16,R19,R9,R10,R20,R21";"R_0402_5MIL_DWS";6;"1K";;;
43;"C9";"C_0603_5MIL_DWS";1;"(na)2.2uF";;;
